Wall time,Step,Value
1495170828.9374678,0,0.06605613976716995
1495170828.9390154,3512,0.7979833483695984
1495170828.9407234,7025,0.7638598680496216
1495170828.9419754,10537,0.8246813416481018
1495170828.9426644,14050,0.7673684358596802
1495170828.9438224,17562,0.7133194208145142
1495170828.9451604,21075,0.8484007120132446
1495170828.9462266,24587,0.9064919948577881
1495170828.9472435,28100,0.912077009677887
